id_employe,date_formation,theme,nb_heures,cout
1074,2025-07-06,Gestion du stress,14,784
1074,2025-03-19,Sécurité informatique,21,987
1075,2025-02-07,Leadership,14,980
1075,2025-01-10,Leadership,21,1239
1075,2025-03-22,Python,14,994
1076,2025-03-08,Sécurité informatique,14,672
1076,2025-09-05,Sécurité informatique,21,1239
1076,2025-04-24,Leadership,14,1092
1078,2025-02-01,Excel avancé,7,329
1078,2025-07-03,Gestion du stress,7,287
1079,2025-11-24,Gestion du stress,21,1533
1081,2025-02-14,Leadership,21,1302
1081,2025-04-30,Python,7,525
1083,2025-11-01,Sécurité informatique,21,1638
1083,2025-06-04,Gestion du stress,14,812
1085,2025-07-02,Leadership,7,427
1086,2025-07-09,Gestion du stress,21,1512
1086,2025-12-14,Leadership,14,1120
1087,2025-09-14,Sécurité informatique,7,280
1089,2025-04-13,Gestion du stress,21,1470
1091,2025-02-05,Excel avancé,7,427
1091,2025-09-07,Gestion du stress,21,1218
1092,2025-07-31,Comptabilité,7,497
1092,2025-05-31,Sécurité informatique,21,1533
1092,2025-03-13,Comptabilité,14,966
1093,2025-05-25,Gestion du stress,7,525
1093,2025-12-10,Sécurité informatique,14,1022
1094,2025-05-29,Comptabilité,14,966
1096,2025-05-24,Comptabilité,21,1575
1097,2025-03-14,Excel avancé,21,1050
1097,2025-06-23,Python,14,602
1098,2025-01-18,Comptabilité,21,1239
1098,2025-04-13,Sécurité informatique,7,350
1098,2025-06-20,Python,14,1050
1099,2025-06-30,Excel avancé,21,1323
1099,2025-04-13,Sécurité informatique,21,1638
1099,2025-03-29,Gestion du stress,7,539
1102,2025-11-22,Comptabilité,7,434
1103,2025-04-15,Comptabilité,14,714
1104,2025-08-08,Sécurité informatique,7,308
1104,2025-01-24,Python,21,840
1105,2025-02-28,Gestion du stress,7,532
1106,2025-10-20,Excel avancé,7,497
1106,2025-09-28,Leadership,14,672
1107,2025-09-17,Leadership,21,1008
1108,2025-02-07,Gestion du stress,7,497
1108,2025-02-03,Leadership,21,1659
1108,2025-09-17,Comptabilité,7,294
1109,2025-05-14,Excel avancé,14,686
1111,2025-11-10,Gestion du stress,7,301
1111,2025-07-30,Sécurité informatique,7,434
1112,2025-06-10,Comptabilité,14,770
1112,2025-10-21,Sécurité informatique,21,1239
1113,2025-08-18,Comptabilité,21,1218
1113,2025-03-30,Python,7,287
1113,2025-08-03,Leadership,7,455
1114,2025-01-24,Excel avancé,21,1176
1114,2025-11-23,Gestion du stress,14,742
1119,2025-05-31,Gestion du stress,21,903
1119,2025-11-14,Sécurité informatique,21,1680
1119,2025-07-22,Leadership,7,308
1120,2025-06-12,Sécurité informatique,14,1120
1120,2025-07-27,Comptabilité,7,385
1121,2025-09-24,Excel avancé,7,364
1121,2025-12-03,Excel avancé,7,532
1121,2025-12-30,Sécurité informatique,21,1029
1122,2025-07-04,Gestion du stress,21,1638
1122,2025-08-11,Leadership,7,336
1122,2025-12-09,Leadership,7,371
1123,2025-04-02,Comptabilité,21,1176
1124,2025-07-04,Gestion du stress,21,1323
1124,2025-04-27,Python,14,1022
1125,2025-01-31,Comptabilité,14,868
1125,2025-06-03,Comptabilité,14,686
1127,2025-12-17,Python,7,448
1130,2025-11-28,Comptabilité,21,1218
1130,2025-10-05,Python,7,406
1132,2025-01-14,Excel avancé,14,1064
1133,2025-07-14,Excel avancé,14,560
1133,2025-08-10,Excel avancé,21,840
1133,2025-12-16,Python,7,448
1136,2025-07-20,Comptabilité,14,924
1136,2025-11-07,Python,14,588
1140,2025-08-10,Leadership,14,728
1140,2025-09-21,Excel avancé,14,1120
1140,2025-08-29,Sécurité informatique,14,616
1142,2025-02-27,Sécurité informatique,14,1064
1142,2025-02-16,Gestion du stress,14,854
1143,2025-10-22,Leadership,21,1008
1145,2025-06-24,Excel avancé,14,770
1146,2025-03-09,Excel avancé,21,1029
1146,2025-03-06,Leadership,7,378
1146,2025-03-24,Leadership,21,882
1148,2025-11-10,Sécurité informatique,7,553
1148,2025-03-16,Comptabilité,7,371
1148,2025-02-19,Python,14,728
1149,2025-01-17,Python,7,413
1149,2025-06-14,Gestion du stress,7,350
1150,2025-01-31,Comptabilité,7,553
1150,2025-09-23,Excel avancé,7,525
1150,2025-06-19,Python,7,497
1152,2025-03-20,Excel avancé,14,1106
1152,2025-11-16,Gestion du stress,7,539
1152,2025-09-01,Sécurité informatique,21,861
1154,2025-02-27,Comptabilité,14,644
1154,2025-11-20,Excel avancé,14,812
1154,2025-08-20,Comptabilité,21,1533
1155,2025-04-11,Comptabilité,7,476
1155,2025-05-05,Leadership,14,588
1155,2025-12-20,Gestion du stress,7,294
1159,2025-10-10,Comptabilité,21,1008
1159,2025-12-22,Python,21,1491
1160,2025-11-10,Leadership,7,399
1160,2025-01-27,Comptabilité,21,1323
1161,2025-02-03,Leadership,14,602
1164,2025-05-31,Leadership,7,301
1166,2025-08-05,Comptabilité,14,938
1167,2025-06-04,Sécurité informatique,21,1470
1167,2025-08-03,Sécurité informatique,7,413
1168,2025-05-07,Comptabilité,7,287
1168,2025-11-29,Gestion du stress,21,1029
1168,2025-04-18,Leadership,21,1575
1170,2025-07-21,Python,14,784
1170,2025-06-27,Comptabilité,14,714
1170,2025-12-23,Comptabilité,21,1029
1171,2025-12-06,Python,14,616
1171,2025-01-05,Sécurité informatique,7,434
1173,2025-11-02,Leadership,7,357
1174,2025-09-30,Python,7,511
1174,2025-08-30,Python,14,952
1175,2025-08-17,Leadership,14,868
1175,2025-07-22,Comptabilité,14,1120
1177,2025-10-31,Python,7,287
1177,2025-06-12,Comptabilité,21,1449
1180,2025-02-13,Comptabilité,7,469
1181,2025-06-10,Gestion du stress,14,728
1181,2025-02-28,Comptabilité,7,469
1181,2025-02-27,Sécurité informatique,7,434
1182,2025-08-09,Gestion du stress,7,546
1182,2025-08-17,Python,21,1491
1182,2025-08-15,Sécurité informatique,21,1050
1183,2025-10-22,Gestion du stress,7,539
1183,2025-02-08,Python,14,1050
1183,2025-12-26,Excel avancé,14,1036
1184,2025-02-11,Excel avancé,7,476
1184,2025-08-07,Leadership,7,343
1184,2025-10-30,Comptabilité,7,462
1186,2025-02-09,Leadership,14,854
1186,2025-11-02,Leadership,7,511
1186,2025-04-22,Python,7,560
1187,2025-12-03,Excel avancé,7,413
1187,2025-07-28,Leadership,7,420
1187,2025-12-08,Gestion du stress,14,994
1188,2025-05-14,Comptabilité,14,1022
1190,2025-12-07,Leadership,21,1470
1191,2025-06-09,Leadership,14,938
1191,2025-04-13,Gestion du stress,7,560
1191,2025-05-29,Gestion du stress,14,574
1192,2025-09-12,Python,21,1386
1192,2025-07-08,Leadership,7,518
1193,2025-08-11,Sécurité informatique,14,896
1193,2025-08-25,Python,14,728
1193,2025-07-03,Gestion du stress,14,784
1194,2025-01-15,Comptabilité,14,728
1194,2025-03-08,Python,14,574
1194,2025-04-17,Comptabilité,7,385
1195,2025-06-06,Gestion du stress,21,1596
1195,2025-02-25,Comptabilité,7,462
1195,2025-08-29,Excel avancé,7,280
1196,2025-08-25,Gestion du stress,14,798
1196,2025-09-22,Comptabilité,14,896
1197,2025-09-27,Sécurité informatique,14,700
1197,2025-06-06,Python,21,903
1197,2025-01-16,Python,7,350
1199,2025-06-03,Excel avancé,7,392
1201,2025-12-12,Sécurité informatique,14,868
1201,2025-12-08,Gestion du stress,14,1092
1201,2025-05-09,Comptabilité,14,784
1202,2025-09-26,Sécurité informatique,7,441
1203,2025-04-03,Python,7,518
1203,2025-01-20,Python,14,714
1204,2025-10-17,Python,7,546
1204,2025-07-04,Python,14,686
1205,2025-12-24,Gestion du stress,7,294
1205,2025-04-15,Gestion du stress,7,476
1205,2025-12-15,Comptabilité,21,903
1206,2025-05-25,Gestion du stress,21,1638
1206,2025-01-08,Python,21,1113
1206,2025-05-12,Sécurité informatique,14,994
1210,2025-11-14,Python,7,392
1210,2025-11-05,Excel avancé,21,861
1210,2025-04-28,Sécurité informatique,7,518
1211,2025-05-01,Python,21,1344
1211,2025-04-19,Comptabilité,14,952
1212,2025-11-24,Leadership,7,441
1212,2025-07-10,Python,21,840
1213,2025-11-30,Comptabilité,21,1113
1213,2025-09-28,Leadership,14,602
1213,2025-09-23,Python,14,896
1214,2025-02-08,Sécurité informatique,14,1036
1214,2025-12-04,Excel avancé,21,987
1215,2025-03-30,Python,7,560
1218,2025-02-22,Comptabilité,7,280
1218,2025-04-27,Python,21,1260
1219,2025-10-16,Excel avancé,7,336
1219,2025-06-22,Gestion du stress,21,861
1220,2025-10-28,Comptabilité,14,756
1221,2025-11-17,Comptabilité,7,322
1222,2025-05-05,Python,14,1036
1222,2025-04-15,Excel avancé,21,1575
1222,2025-10-11,Sécurité informatique,7,357
1223,2025-06-11,Excel avancé,21,945
1225,2025-08-23,Comptabilité,7,455
1226,2025-09-08,Excel avancé,7,553
1226,2025-02-04,Python,7,518
1228,2025-03-14,Comptabilité,7,315
1228,2025-06-21,Comptabilité,21,1512
1228,2025-03-24,Gestion du stress,14,1036
1229,2025-12-21,Gestion du stress,14,1050
1229,2025-11-16,Leadership,14,896
1230,2025-06-08,Comptabilité,14,980
1230,2025-10-15,Gestion du stress,14,630
1231,2025-07-08,Python,7,315
1231,2025-10-22,Gestion du stress,7,336
1231,2025-07-20,Comptabilité,21,840
1232,2025-12-03,Excel avancé,21,1659
1232,2025-05-26,Leadership,14,756
1232,2025-11-15,Gestion du stress,7,420
1234,2025-01-22,Gestion du stress,21,1323
1234,2025-07-20,Sécurité informatique,14,1120
1234,2025-11-04,Leadership,7,350
1235,2025-03-03,Sécurité informatique,7,301
1236,2025-01-26,Sécurité informatique,7,378
1236,2025-05-01,Python,21,1134
1236,2025-10-03,Comptabilité,14,560
1237,2025-07-16,Excel avancé,21,1638
1238,2025-06-06,Comptabilité,14,588
1238,2025-02-22,Comptabilité,21,1470
1238,2025-10-31,Sécurité informatique,7,350
1241,2025-11-27,Python,14,1008
1241,2025-07-23,Excel avancé,21,1092
1241,2025-12-08,Leadership,21,1491
1243,2025-08-09,Gestion du stress,7,357
1244,2025-01-12,Sécurité informatique,7,518
1245,2025-03-09,Sécurité informatique,21,1617
1245,2025-03-16,Leadership,14,658
1245,2025-12-06,Leadership,7,434
1247,2025-11-20,Comptabilité,7,497
1248,2025-03-19,Leadership,14,728
1248,2025-11-22,Sécurité informatique,7,560
1249,2025-01-23,Leadership,7,441
1249,2025-04-07,Python,7,364
1249,2025-01-13,Leadership,14,700
1250,2025-06-27,Comptabilité,21,1575
1250,2025-01-20,Python,21,1134
1251,2025-12-23,Gestion du stress,14,826
1252,2025-05-20,Leadership,14,910
1252,2025-10-01,Excel avancé,21,1197
1254,2025-03-19,Excel avancé,7,371
1255,2025-04-17,Excel avancé,14,1022
1256,2025-05-24,Comptabilité,14,1106
1257,2025-11-16,Comptabilité,7,413
1258,2025-06-30,Comptabilité,7,532
1260,2025-07-16,Excel avancé,14,1064
1261,2025-06-04,Excel avancé,14,672
1261,2025-09-04,Gestion du stress,21,1134
1263,2025-12-25,Leadership,14,588
1263,2025-02-18,Excel avancé,21,1575
1267,2025-09-22,Excel avancé,21,1029
1268,2025-01-12,Gestion du stress,14,714
1269,2025-04-04,Sécurité informatique,21,1239
1269,2025-05-25,Leadership,14,1092
1269,2025-07-09,Leadership,21,1239
1270,2025-08-19,Gestion du stress,14,798
1270,2025-06-23,Sécurité informatique,7,560
1271,2025-03-10,Python,7,420
1273,2025-12-05,Excel avancé,7,385
1273,2025-07-04,Comptabilité,14,1022
1273,2025-08-16,Excel avancé,21,966
1275,2025-08-03,Gestion du stress,7,287
1276,2025-05-16,Gestion du stress,14,1050
1278,2025-05-14,Gestion du stress,14,798
1278,2025-03-05,Leadership,7,364
1280,2025-11-22,Comptabilité,14,560
1281,2025-12-14,Gestion du stress,21,1386
1281,2025-04-11,Gestion du stress,7,553
1281,2025-10-18,Gestion du stress,21,987
1282,2025-11-19,Excel avancé,14,770
1282,2025-09-25,Gestion du stress,21,1281
1282,2025-02-05,Comptabilité,14,658
1283,2025-04-21,Python,21,987
1283,2025-01-11,Leadership,14,854
1284,2025-05-31,Sécurité informatique,14,1008
1285,2025-01-20,Gestion du stress,21,1050
1285,2025-03-05,Python,21,924
1285,2025-11-28,Excel avancé,21,1617
1286,2025-08-11,Sécurité informatique,7,427
1286,2025-10-30,Sécurité informatique,14,980
1287,2025-03-25,Sécurité informatique,7,497
1288,2025-11-29,Sécurité informatique,14,910
1288,2025-03-27,Comptabilité,14,686
1289,2025-09-09,Gestion du stress,21,1596
1289,2025-03-29,Excel avancé,7,427
1290,2025-09-21,Sécurité informatique,21,1197
1291,2025-03-22,Sécurité informatique,14,812
1291,2025-04-15,Excel avancé,7,280
1291,2025-09-11,Excel avancé,14,644
1293,2025-06-09,Gestion du stress,14,980
1293,2025-07-19,Leadership,7,455
1293,2025-01-08,Python,21,1155
1294,2025-12-02,Excel avancé,7,497
1294,2025-10-31,Gestion du stress,7,294
1294,2025-10-26,Excel avancé,21,903
1295,2025-09-22,Leadership,14,700
1295,2025-01-04,Comptabilité,14,826
1298,2025-07-04,Excel avancé,21,1386
1300,2025-12-20,Sécurité informatique,21,1407
1300,2025-02-21,Gestion du stress,7,378
1301,2025-09-09,Gestion du stress,7,315
1302,2025-03-09,Comptabilité,14,1078
1303,2025-08-22,Gestion du stress,7,413
1303,2025-11-08,Python,7,301
1303,2025-01-04,Excel avancé,21,903
1304,2025-03-28,Sécurité informatique,14,1106
1304,2025-04-09,Python,14,756
1304,2025-08-25,Sécurité informatique,7,462
1305,2025-11-09,Leadership,21,1218
1308,2025-04-29,Excel avancé,14,770
1308,2025-10-04,Excel avancé,14,798
1308,2025-10-03,Leadership,14,798
1310,2025-09-07,Python,21,1239
1310,2025-04-17,Sécurité informatique,14,714
1311,2025-06-14,Sécurité informatique,14,896
1311,2025-12-14,Python,21,1491
1311,2025-05-27,Sécurité informatique,14,868
1312,2025-11-27,Gestion du stress,14,686
1313,2025-05-16,Python,21,1218
1314,2025-06-28,Python,7,406
1314,2025-04-08,Comptabilité,7,315
1314,2025-03-26,Excel avancé,21,1134
1315,2025-07-01,Comptabilité,7,329
1315,2025-04-28,Excel avancé,21,1596
1315,2025-09-20,Sécurité informatique,7,511
1317,2025-07-22,Python,21,1218
1319,2025-11-17,Comptabilité,14,952
1320,2025-08-31,Excel avancé,7,560
1320,2025-06-04,Comptabilité,21,1092
1320,2025-08-15,Comptabilité,21,1344
1323,2025-02-09,Excel avancé,21,1596
1323,2025-01-03,Comptabilité,21,1260
1323,2025-07-18,Leadership,21,1344
1326,2025-09-15,Leadership,14,1092
1326,2025-11-24,Gestion du stress,14,966
1328,2025-11-22,Excel avancé,21,1134
1330,2025-05-26,Gestion du stress,21,1176
1331,2025-08-07,Gestion du stress,7,560
1332,2025-09-09,Comptabilité,14,854
1332,2025-08-19,Sécurité informatique,14,882
1332,2025-08-25,Sécurité informatique,14,882
1334,2025-04-20,Gestion du stress,21,1575
1336,2025-04-26,Gestion du stress,21,1218
1337,2025-09-23,Comptabilité,14,560
1337,2025-02-11,Python,14,910
1340,2025-07-07,Sécurité informatique,21,1449
1340,2025-01-25,Python,7,469
1340,2025-05-11,Python,21,1512
1341,2025-04-18,Sécurité informatique,7,399
1341,2025-09-06,Comptabilité,14,630
1341,2025-05-07,Gestion du stress,21,861
1342,2025-12-01,Sécurité informatique,21,1680
1342,2025-04-18,Python,21,1680
1342,2025-04-12,Python,7,441
1343,2025-09-12,Sécurité informatique,7,518
1343,2025-10-04,Excel avancé,7,357
1344,2025-12-13,Python,21,1638
1344,2025-09-11,Comptabilité,14,980
1345,2025-04-27,Gestion du stress,21,1050
1346,2025-03-15,Sécurité informatique,7,399
1346,2025-02-28,Python,21,1218
1347,2025-07-20,Python,21,1617
1348,2025-10-25,Excel avancé,21,1470
1348,2025-04-04,Comptabilité,7,553
1348,2025-12-16,Sécurité informatique,14,770
1349,2025-01-23,Excel avancé,7,455
1350,2025-11-09,Leadership,14,840
1350,2025-11-29,Gestion du stress,21,1281
1350,2025-11-08,Gestion du stress,21,1365
1351,2025-11-11,Leadership,7,469
1351,2025-08-22,Gestion du stress,14,700
1352,2025-06-06,Gestion du stress,14,714
1352,2025-09-14,Gestion du stress,21,1512
1352,2025-05-05,Sécurité informatique,14,966
1353,2025-09-22,Excel avancé,7,287
1354,2025-02-24,Excel avancé,21,1260
1355,2025-10-08,Leadership,14,938
1356,2025-01-10,Gestion du stress,7,469
1357,2025-09-12,Python,21,1155
1357,2025-07-13,Leadership,7,294
1357,2025-04-25,Leadership,7,448
1358,2025-04-11,Leadership,7,539
1358,2025-12-19,Python,21,1344
1358,2025-06-12,Excel avancé,21,1386
1359,2025-06-07,Excel avancé,21,1113
1359,2025-05-31,Sécurité informatique,21,1260
1360,2025-10-14,Sécurité informatique,21,882
1360,2025-01-14,Gestion du stress,21,1071
1360,2025-08-15,Sécurité informatique,7,462
1361,2025-10-02,Leadership,21,1008
1361,2025-08-11,Excel avancé,7,483
1362,2025-11-13,Leadership,21,1638
1363,2025-03-15,Python,7,462
1364,2025-05-14,Sécurité informatique,21,1071
1364,2025-10-10,Sécurité informatique,7,483
1364,2025-10-05,Leadership,14,560
1365,2025-03-28,Excel avancé,21,924
1365,2025-09-24,Gestion du stress,21,1260
1366,2025-07-27,Gestion du stress,14,854
1366,2025-09-05,Sécurité informatique,7,287
1368,2025-11-01,Leadership,21,945
1368,2025-07-04,Gestion du stress,14,686
1370,2025-12-19,Python,21,1029
1370,2025-09-18,Comptabilité,21,924
1370,2025-05-20,Sécurité informatique,14,798
1374,2025-07-17,Python,7,399
1375,2025-04-27,Leadership,14,840
1375,2025-11-25,Leadership,7,385
1375,2025-03-08,Comptabilité,21,1680
1376,2025-11-23,Sécurité informatique,7,294
1377,2025-09-13,Sécurité informatique,7,560
1377,2025-12-07,Excel avancé,7,420
1377,2025-08-05,Gestion du stress,7,483
1380,2025-03-12,Python,21,1197
1380,2025-04-25,Sécurité informatique,7,455
1380,2025-02-07,Leadership,21,840
1381,2025-07-02,Comptabilité,21,987
1381,2025-02-19,Python,21,1155
1381,2025-10-15,Gestion du stress,14,938
1382,2025-04-11,Gestion du stress,7,322
1382,2025-10-09,Excel avancé,14,784
1383,2025-11-10,Sécurité informatique,7,504
1383,2025-08-06,Sécurité informatique,14,910
1384,2025-10-24,Gestion du stress,14,1120
1385,2025-12-21,Comptabilité,21,1596
1385,2025-03-13,Python,14,798
1385,2025-09-21,Leadership,14,728
1386,2025-12-16,Comptabilité,7,280
1387,2025-05-11,Excel avancé,14,896
1387,2025-09-12,Gestion du stress,21,924
1387,2025-02-04,Excel avancé,21,1197
1388,2025-03-28,Excel avancé,14,630
1390,2025-05-18,Excel avancé,14,742
1392,2025-03-28,Leadership,7,518
1392,2025-10-17,Sécurité informatique,21,840
1392,2025-12-05,Gestion du stress,21,1281
1394,2025-04-30,Excel avancé,7,392
1395,2025-06-13,Python,21,1407
1396,2025-11-03,Sécurité informatique,14,658
1396,2025-12-11,Leadership,14,728
1396,2025-05-09,Comptabilité,21,1449
1398,2025-05-25,Leadership,14,700
1399,2025-04-12,Sécurité informatique,7,560
1399,2025-08-16,Gestion du stress,21,1281
1399,2025-04-25,Leadership,14,994
1400,2025-06-30,Gestion du stress,14,616
1400,2025-11-27,Python,14,672
1400,2025-02-15,Excel avancé,21,987
1401,2025-07-02,Leadership,21,1008
1401,2025-01-21,Leadership,7,322
1402,2025-12-03,Leadership,7,385
1402,2025-09-04,Leadership,14,1050
1402,2025-08-15,Python,14,952
1403,2025-08-14,Gestion du stress,21,1575
1403,2025-08-30,Leadership,21,1638
1403,2025-01-28,Leadership,14,560
1405,2025-07-03,Gestion du stress,21,1659
1405,2025-12-12,Leadership,21,1239
1406,2025-03-17,Sécurité informatique,7,448
1406,2025-07-14,Excel avancé,14,812
1406,2025-02-16,Excel avancé,14,1078
1407,2025-12-03,Comptabilité,21,1218
1407,2025-09-22,Leadership,14,630
1408,2025-05-29,Leadership,7,483
1409,2025-07-25,Gestion du stress,7,476
1410,2025-04-26,Comptabilité,14,1050
1410,2025-06-10,Comptabilité,21,861
1410,2025-01-21,Python,14,686
1412,2025-12-05,Gestion du stress,7,287
1412,2025-11-28,Leadership,21,861
1413,2025-02-28,Excel avancé,7,539
1415,2025-02-23,Sécurité informatique,14,1120
1415,2025-03-19,Sécurité informatique,21,1050
1415,2025-05-14,Gestion du stress,21,1113
1417,2025-06-08,Python,7,448
1418,2025-08-10,Gestion du stress,21,1554
1419,2025-12-13,Python,21,1197
1419,2025-12-19,Excel avancé,21,840
1421,2025-06-27,Sécurité informatique,21,987
1422,2025-02-25,Python,21,882
1423,2025-05-03,Gestion du stress,7,462
1423,2025-12-01,Comptabilité,21,1302
1425,2025-10-05,Python,7,427
1425,2025-03-12,Leadership,7,287
1426,2025-10-30,Comptabilité,7,280
1427,2025-02-01,Comptabilité,7,462
1427,2025-07-09,Leadership,21,924
1428,2025-05-10,Gestion du stress,7,294
1428,2025-09-03,Gestion du stress,21,882
1429,2025-03-10,Leadership,7,504
1429,2025-05-02,Comptabilité,14,1078
1429,2025-09-04,Excel avancé,21,882
1430,2025-01-23,Excel avancé,14,840
1430,2025-01-02,Excel avancé,21,1344
1432,2025-06-25,Gestion du stress,14,966
1433,2025-04-17,Sécurité informatique,21,1071
1434,2025-03-23,Python,14,994
1435,2025-10-23,Sécurité informatique,21,1092
1435,2025-10-28,Sécurité informatique,7,448
1436,2025-03-07,Leadership,7,315
1437,2025-08-12,Sécurité informatique,7,315
1437,2025-10-24,Excel avancé,14,854
1439,2025-03-03,Comptabilité,7,553
1439,2025-07-10,Excel avancé,21,1071
1439,2025-11-01,Leadership,7,420
1440,2025-10-24,Excel avancé,21,1470
1440,2025-10-30,Leadership,7,343
1440,2025-02-04,Sécurité informatique,7,532
1441,2025-02-20,Sécurité informatique,14,910
1443,2025-08-27,Gestion du stress,7,287
1444,2025-06-18,Leadership,21,1407
1445,2025-09-04,Gestion du stress,21,1617
1445,2025-06-16,Leadership,7,532
1447,2025-06-06,Leadership,14,798
1449,2025-06-16,Comptabilité,7,280
1449,2025-07-05,Leadership,14,868
1449,2025-05-29,Excel avancé,14,980
1450,2025-01-02,Comptabilité,7,469
1450,2025-01-15,Excel avancé,21,1134
1453,2025-07-27,Python,14,672
1453,2025-03-19,Gestion du stress,21,987
1455,2025-10-11,Python,14,588
1455,2025-05-25,Leadership,14,910
1456,2025-01-06,Excel avancé,14,1050
1456,2025-12-13,Leadership,14,952
1457,2025-05-06,Comptabilité,14,560
1457,2025-10-21,Python,7,301
1458,2025-11-20,Python,21,1092
1458,2025-07-26,Python,14,812
1460,2025-03-16,Gestion du stress,7,385
1461,2025-01-07,Leadership,21,1638
1461,2025-09-20,Python,7,371
1462,2025-01-02,Sécurité informatique,21,882
1465,2025-09-01,Excel avancé,7,434
1467,2025-10-12,Excel avancé,7,441
1468,2025-04-07,Leadership,14,756
1468,2025-03-29,Excel avancé,14,882
